city,lat,lon,species,common_name,age_years,scenario,trees_planted,trees_alive,agb_kg,bgb_kg,carbon_t,co2_t,co2_total_t,co2_cumulative_t
Chennai,13.0827,80.2707,Azadirachta indica,Neem,0,0.8,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Azadirachta indica,Neem,1,0.8,100,80.0,0.04998323240396796,0.01199597577695231,2.9130227845032525e-05,0.00010681083543178591,0.008544866834542874,0.008544866834542874
Chennai,13.0827,80.2707,Azadirachta indica,Neem,2,0.8,100,64.0,0.3803996999682762,0.09129592799238628,0.00022169694514151137,0.0008128887988522083,0.052024883126541334,0.060569749961084204
Chennai,13.0827,80.2707,Azadirachta indica,Neem,3,0.8,100,51.20000000000001,1.246910758900822,0.29925858213619727,0.000726699590287399,0.0026645651643871296,0.13642573641662106,0.19699548637770525
Chennai,13.0827,80.2707,Azadirachta indica,Neem,4,0.8,100,40.96000000000001,2.895049495127633,0.6948118788306319,0.0016872348457603844,0.006186527767788076,0.25340017736859966,0.4503956637463049
Chennai,13.0827,80.2707,Azadirachta indica,Neem,5,0.8,100,32.76800000000001,5.5642740439205625,1.335425770540935,0.0032428589127969035,0.011890482680255313,0.3896273364666062,0.8400230002129111
Chennai,13.0827,80.2707,Azadirachta indica,Neem,6,0.8,100,26.214400000000005,9.489671951176843,2.277521268282442,0.005530580813145864,0.020278796314868168,0.5315964781164803,1.3716194783293914
Chennai,13.0827,80.2707,Azadirachta indica,Neem,7,0.8,100,20.97152000000001,14.902921010578213,3.576701042538771,0.008685422364964982,0.031846548671538265,0.6678705323961385,2.0394900107255296
Chennai,13.0827,80.2707,Azadirachta indica,Neem,8,0.8,100,16.777216000000006,22.03290796480052,5.2878979115521245,0.012840778761885743,0.04708285546024772,0.7899192359533558,2.8294092466788854
Chennai,13.0827,80.2707,Azadirachta indica,Neem,9,0.8,100,13.421772800000006,31.106160323860834,7.4654784777266,0.01812867023674609,0.066471790868069,0.8921692746403372,3.7215785213192225
Chennai,13.0827,80.2707,Azadirachta indica,Neem,10,0.8,100,10.737418240000006,42.347164740002235,10.163319537600536,0.0246799276104733,0.09049306790506877,0.9716619179174445,4.693240439236667
Chennai,13.0827,80.2707,Azadirachta indica,Neem,11,0.8,100,8.589934592000006,50.37524400661103,12.090058561586646,0.029358692207052905,0.10764853809252731,0.9246939011392307,5.617934340375897
Chennai,13.0827,80.2707,Azadirachta indica,Neem,12,0.8,100,6.871947673600006,59.33756985373092,14.24101676489542,0.03458193571075438,0.12680043093943272,0.8713659264057129,6.48930026678161
Chennai,13.0827,80.2707,Azadirachta indica,Neem,13,0.8,100,5.497558138880003,69.28308586467767,16.627940607522643,0.04037818244193415,0.1480533356204252,0.8139318202284012,7.303232087010011
Chennai,13.0827,80.2707,Azadirachta indica,Neem,14,0.8,100,4.3980465111040035,80.26054897565537,19.262531754157287,0.04677584794301195,0.17151144245771047,0.7543153011155486,8.05754738812556
Chennai,13.0827,80.2707,Azadirachta indica,Neem,15,0.8,100,3.518437208883203,92.31853944615985,22.156449467078364,0.05380324478922196,0.19727856422714718,0.6941122408918494,8.751659629017409
Chennai,13.0827,80.2707,Azadirachta indica,Neem,16,0.8,100,2.814749767106562,105.50546985867628,25.321312766082304,0.06148858783363653,0.2254581553900006,0.6346082903762793,9.386267919393688
Chennai,13.0827,80.2707,Azadirachta indica,Neem,17,0.8,100,2.2517998136852504,119.8695932800232,28.768702387205565,0.06985999896359751,0.25615332953319087,0.5768060197176957,9.963073939111384
Chennai,13.0827,80.2707,Azadirachta indica,Neem,18,0.8,100,1.8014398509482,135.45901069407515,32.51016256657803,0.07894551143250698,0.2894668752525256,0.521457164609351,10.484531103720736
Chennai,13.0827,80.2707,Azadirachta indica,Neem,19,0.8,100,1.4411518807585602,152.3216777975331,36.55720267140794,0.08877307382040228,0.32550127067480833,0.4690967684223012,10.953627872143036
Chennai,13.0827,80.2707,Azadirachta indica,Neem,20,0.8,100,1.1529215046068484,170.50541123586217,40.92129869660692,0.09937055366826048,0.3643586967836217,0.42007697691236356,11.3737048490554
Chennai,13.0827,80.2707,Azadirachta indica,Neem,0,0.9,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Azadirachta indica,Neem,1,0.9,100,90.0,0.04998323240396796,0.01199597577695231,2.9130227845032525e-05,0.00010681083543178591,0.009612975188860732,0.009612975188860732
Chennai,13.0827,80.2707,Azadirachta indica,Neem,2,0.9,100,81.0,0.3803996999682762,0.09129592799238628,0.00022169694514151137,0.0008128887988522083,0.06584399270702887,0.0754569678958896
Chennai,13.0827,80.2707,Azadirachta indica,Neem,3,0.9,100,72.9,1.246910758900822,0.29925858213619727,0.000726699590287399,0.0026645651643871296,0.19424680048382176,0.26970376837971133
Chennai,13.0827,80.2707,Azadirachta indica,Neem,4,0.9,100,65.61,2.895049495127633,0.6948118788306319,0.0016872348457603844,0.006186527767788076,0.4058980868445757,0.6756018552242871
Chennai,13.0827,80.2707,Azadirachta indica,Neem,5,0.9,100,59.04900000000001,5.5642740439205625,1.335425770540935,0.0032428589127969035,0.011890482680255313,0.702121111786396,1.377722967010683
Chennai,13.0827,80.2707,Azadirachta indica,Neem,6,0.9,100,53.14410000000001,9.489671951176843,2.277521268282442,0.005530580813145864,0.020278796314868168,1.0776983792369856,2.4554213462476686
Chennai,13.0827,80.2707,Azadirachta indica,Neem,7,0.9,100,47.82969000000001,14.902921010578213,3.576701042538771,0.008685422364964982,0.031846548671538265,1.5232105505295872,3.978631896777256
Chennai,13.0827,80.2707,Azadirachta indica,Neem,8,0.9,100,43.046721000000005,22.03290796480052,5.2878979115521245,0.012840778761885743,0.04708285546024772,2.0267625428806104,6.0053944396578665
Chennai,13.0827,80.2707,Azadirachta indica,Neem,9,0.9,100,38.74204890000001,31.106160323860834,7.4654784777266,0.01812867023674609,0.066471790868069,2.575253372281303,8.58064781193917
Chennai,13.0827,80.2707,Azadirachta indica,Neem,10,0.9,100,34.867844010000006,42.347164740002235,10.163319537600536,0.0246799276104733,0.09049306790506877,3.155298175700276,11.735945987639445
Chennai,13.0827,80.2707,Azadirachta indica,Neem,11,0.9,100,31.381059609000005,50.37524400661103,12.090058561586646,0.029358692207052905,0.10764853809252731,3.378125190703307,15.114071178342751
Chennai,13.0827,80.2707,Azadirachta indica,Neem,12,0.9,100,28.242953648100013,59.33756985373092,14.24101676489542,0.03458193571075438,0.12680043093943272,3.581218693581505,18.695289871924256
Chennai,13.0827,80.2707,Azadirachta indica,Neem,13,0.9,100,25.418658283290007,69.28308586467767,16.627940607522643,0.04037818244193415,0.1480533356204252,3.763317145836836,22.458607017761093
Chennai,13.0827,80.2707,Azadirachta indica,Neem,14,0.9,100,22.876792454961006,80.26054897565537,19.262531754157287,0.04677584794301195,0.17151144245771047,3.9236316727560294,26.382238690517124
Chennai,13.0827,80.2707,Azadirachta indica,Neem,15,0.9,100,20.58911320946491,92.31853944615985,22.156449467078364,0.05380324478922196,0.19727856422714718,4.061790692673427,30.44402938319055
Chennai,13.0827,80.2707,Azadirachta indica,Neem,16,0.9,100,18.53020188851842,105.50546985867628,25.321312766082304,0.06148858783363653,0.2254581553900006,4.177785136789669,34.62181451998022
Chennai,13.0827,80.2707,Azadirachta indica,Neem,17,0.9,100,16.677181699666576,119.8695932800232,28.768702387205565,0.06985999896359751,0.25615332953319087,4.271915619599593,38.893730139579816
Chennai,13.0827,80.2707,Azadirachta indica,Neem,18,0.9,100,15.009463529699918,135.45901069407515,32.51016256657803,0.07894551143250698,0.2894668752525256,4.344742507158979,43.23847264673879
Chennai,13.0827,80.2707,Azadirachta indica,Neem,19,0.9,100,13.508517176729926,152.3216777975331,36.55720267140794,0.08877307382040228,0.32550127067480833,4.397039505958065,47.635512152696855
Chennai,13.0827,80.2707,Azadirachta indica,Neem,20,0.9,100,12.157665459056934,170.50541123586217,40.92129869660692,0.09937055366826048,0.3643586967836217,4.429751142593236,52.065263295290094
Chennai,13.0827,80.2707,Azadirachta indica,Neem,0,0.95,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Azadirachta indica,Neem,1,0.95,100,95.0,0.04998323240396796,0.01199597577695231,2.9130227845032525e-05,0.00010681083543178591,0.010147029366019663,0.010147029366019663
Chennai,13.0827,80.2707,Azadirachta indica,Neem,2,0.95,100,90.24999999999999,0.3803996999682762,0.09129592799238628,0.00022169694514151137,0.0008128887988522083,0.07336321409641179,0.08351024346243145
Chennai,13.0827,80.2707,Azadirachta indica,Neem,3,0.95,100,85.73749999999998,1.246910758900822,0.29925858213619727,0.000726699590287399,0.0026645651643871296,0.22845315578164146,0.3119633992440729
Chennai,13.0827,80.2707,Azadirachta indica,Neem,4,0.95,100,81.45062499999999,2.895049495127633,0.6948118788306319,0.0016872348457603844,0.006186527767788076,0.5038965532661935,0.8158599525102664
Chennai,13.0827,80.2707,Azadirachta indica,Neem,5,0.95,100,77.37809374999998,5.5642740439205625,1.335425770540935,0.0032428589127969035,0.011890482680255313,0.9200628835655466,1.735922836075813
Chennai,13.0827,80.2707,Azadirachta indica,Neem,6,0.95,100,73.50918906249998,9.489671951176843,2.277521268282442,0.005530580813145864,0.020278796314868168,1.4906778722695722,3.2266007083453854
Chennai,13.0827,80.2707,Azadirachta indica,Neem,7,0.95,100,69.83372960937497,14.902921010578213,3.576701042538771,0.008685422364964982,0.031846548671538265,2.2239632689200026,5.4505639772653875
Chennai,13.0827,80.2707,Azadirachta indica,Neem,8,0.95,100,66.34204312890623,22.03290796480052,5.2878979115521245,0.012840778761885743,0.04708285546024772,3.1235728275758126,8.5741368048412
Chennai,13.0827,80.2707,Azadirachta indica,Neem,9,0.95,100,63.02494097246091,31.106160323860834,7.4654784777266,0.01812867023674609,0.066471790868069,4.1893806957938144,12.763517500635015
Chennai,13.0827,80.2707,Azadirachta indica,Neem,10,0.95,100,59.873693923837855,42.347164740002235,10.163319537600536,0.0246799276104733,0.09049306790506877,5.418154249977162,18.181671750612175
Chennai,13.0827,80.2707,Azadirachta indica,Neem,11,0.95,100,56.880009227645964,50.37524400661103,12.090058561586646,0.029358692207052905,0.10764853809252731,6.123049840045551,24.304721590657728
Chennai,13.0827,80.2707,Azadirachta indica,Neem,12,0.95,100,54.03600876626366,59.33756985373092,14.24101676489542,0.03458193571075438,0.12680043093943272,6.851789197809197,31.156510788466925
Chennai,13.0827,80.2707,Azadirachta indica,Neem,13,0.95,100,51.33420832795048,69.28308586467767,16.627940607522643,0.04037818244193415,0.1480533356204252,7.600200774386878,38.7567115628538
Chennai,13.0827,80.2707,Azadirachta indica,Neem,14,0.95,100,48.76749791155295,80.26054897565537,19.262531754157287,0.04677584794301195,0.17151144245771047,8.36418391186383,47.12089547471763
Chennai,13.0827,80.2707,Azadirachta indica,Neem,15,0.95,100,46.329123015975306,92.31853944615985,22.156449467078364,0.05380324478922196,0.19727856422714718,9.139742870494487,56.260638345212115
Chennai,13.0827,80.2707,Azadirachta indica,Neem,16,0.95,100,44.012666865176534,105.50546985867628,25.321312766082304,0.06148858783363653,0.2254581553900006,9.923014685217302,66.18365303042941
Chennai,13.0827,80.2707,Azadirachta indica,Neem,17,0.95,100,41.812033521917705,119.8695932800232,28.768702387205565,0.06985999896359751,0.25615332953319087,10.710291601192608,76.89394463162202
Chennai,13.0827,80.2707,Azadirachta indica,Neem,18,0.95,100,39.72143184582182,135.45901069407515,32.51016256657803,0.07894551143250698,0.2894668752525256,11.498038756966203,88.39198338858822
Chennai,13.0827,80.2707,Azadirachta indica,Neem,19,0.95,100,37.73536025353073,152.3216777975331,36.55720267140794,0.08877307382040228,0.32550127067480833,12.28290771189591,100.67489110048413
Chennai,13.0827,80.2707,Azadirachta indica,Neem,20,0.95,100,35.848592240854195,170.50541123586217,40.92129869660692,0.09937055366826048,0.3643586967836217,13.061746350405087,113.73663745088922
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),0,0.8,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),1,0.8,100,80.0,0.12876048817043928,0.033477726924314215,7.625196109453414e-05,0.0002795905240132918,0.022367241921063347,0.022367241921063347
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),2,0.8,100,64.0,0.9799376453275466,0.25478378778516214,0.000580319073562973,0.0021278366030642345,0.136181542596111,0.15854878451717436
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),3,0.8,100,51.20000000000001,3.212133955712259,0.8351548284851873,0.0019022257285727998,0.006974827671433599,0.35711117677740034,0.5156599612945747
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),4,0.8,100,40.96000000000001,7.457860733325148,1.9390437906645386,0.004416545126275153,0.016193998796342226,0.6633061906981778,1.1789661519927526
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),5,0.8,100,32.76800000000001,14.333979771833235,3.726834740676641,0.00848858282087964,0.03112480367655868,1.019897566873475,2.1988637188662277
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),6,0.8,100,26.214400000000005,24.44609390476024,6.355984415237662,0.014476976810399014,0.05308224830479638,1.3915192899612545,3.590383008827482
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),7,0.8,100,20.97152000000001,38.39102219277867,9.981665770122454,0.02273516334256353,0.0833622655893996,1.7482334200534062,5.338616428880888
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),8,0.8,100,16.777216000000006,56.7583937435959,14.757182373334935,0.033612320774957495,0.12324517617484414,2.0677109416434147,7.406327370524303
Chennai,13.0827,80.2707,Casuarina equisetifolia,Casuarina (Coastal she-oak),9,0.8,100,13.421772800000006,80.13176010782193,20.834257628033704,0.04745402833585215,0.17399810389812453,2.335363018151423,9.741690388675726
